student_id,skill_id,skill_score,topics_known_count
STU001,SK001,7.5,3
STU001,SK002,7.9,4
STU001,SK007,8.0,2
STU001,SK008,4.0,1
STU001,SK010,4.9,1
STU002,SK001,8.4,2
STU002,SK002,3.5,4
STU002,SK007,4.6,2
STU002,SK008,3.7,2
STU002,SK010,5.0,3
STU003,SK001,8.5,3
STU003,SK002,4.6,4
STU003,SK007,7.1,3
STU003,SK008,9.0,1
STU003,SK010,8.6,3
STU004,SK017,3.3,3
STU004,SK018,2.3,4
STU004,SK019,4.6,3
STU004,SK021,5.3,1
STU004,SK022,4.9,2
STU005,SK017,3.9,4
STU005,SK018,2.0,2
STU005,SK019,4.7,1
STU005,SK021,9.1,3
STU005,SK022,6.7,1
STU006,SK025,7.4,3
STU006,SK026,5.8,4
STU006,SK027,4.4,3
STU006,SK028,6.2,2
STU006,SK029,5.2,4
STU007,SK025,7.1,2
STU007,SK026,6.6,3
STU007,SK027,5.0,1
STU007,SK028,4.3,2
STU007,SK029,5.2,3
STU008,SK031,5.5,4
STU008,SK032,7.1,4
STU008,SK033,8.0,2
STU008,SK034,6.9,3
STU008,SK035,5.9,3
STU009,SK031,2.7,2
STU009,SK032,7.0,2
STU009,SK033,8.0,2
STU009,SK034,2.2,2
STU009,SK035,9.4,1
STU010,SK036,5.4,2
STU010,SK037,7.4,4
STU010,SK038,5.7,2
STU010,SK039,3.1,1
STU010,SK040,8.7,1
STU011,SK001,7.8,2
STU011,SK002,3.3,4
STU011,SK007,2.4,2
STU011,SK008,8.9,1
STU011,SK010,5.4,4
STU012,SK001,7.0,3
STU012,SK002,9.1,4
STU012,SK007,6.6,4
STU012,SK008,8.2,4
STU012,SK010,8.7,4
STU013,SK001,5.4,2
STU013,SK002,8.3,3
STU013,SK007,7.7,4
STU013,SK008,6.7,3
STU013,SK010,5.3,3
STU014,SK017,3.8,3
STU014,SK018,4.4,1
STU014,SK019,3.0,2
STU014,SK021,4.9,2
STU014,SK022,7.3,1
STU015,SK017,5.1,3
STU015,SK018,6.1,4
STU015,SK019,2.5,4
STU015,SK021,4.9,1
STU015,SK022,8.4,4
STU016,SK025,5.6,3
STU016,SK026,4.2,4
STU016,SK027,8.4,4
STU016,SK028,6.0,2
STU016,SK029,5.7,3
STU017,SK025,5.3,1
STU017,SK026,4.9,4
STU017,SK027,7.4,4
STU017,SK028,8.9,1
STU017,SK029,8.8,1
STU018,SK031,2.6,4
STU018,SK032,3.0,4
STU018,SK033,3.4,3
STU018,SK034,4.8,2
STU018,SK035,5.4,3
STU019,SK031,7.7,4
STU019,SK032,4.1,4
STU019,SK033,3.9,1
STU019,SK034,5.5,1
STU019,SK035,9.5,3
STU020,SK036,3.7,1
STU020,SK037,7.9,1
STU020,SK038,7.7,2
STU020,SK039,3.5,1
STU020,SK040,6.7,2
STU021,SK001,2.9,1
STU021,SK002,6.2,2
STU021,SK007,5.5,3
STU021,SK008,7.8,2
STU021,SK010,6.5,1
STU022,SK001,7.8,2
STU022,SK002,9.2,1
STU022,SK007,6.3,3
STU022,SK008,6.3,4
STU022,SK010,5.0,2
STU023,SK001,2.6,2
STU023,SK002,2.8,3
STU023,SK007,8.4,1
STU023,SK008,8.0,1
STU023,SK010,4.6,4
STU024,SK017,7.0,1
STU024,SK018,5.8,3
STU024,SK019,2.1,4
STU024,SK021,8.2,1
STU024,SK022,5.3,3
STU025,SK017,6.8,4
STU025,SK018,7.3,4
STU025,SK019,3.3,3
STU025,SK021,6.6,4
STU025,SK022,5.5,3
STU026,SK025,4.4,2
STU026,SK026,8.2,1
STU026,SK027,4.1,4
STU026,SK028,3.8,4
STU026,SK029,6.3,4
STU027,SK025,4.5,4
STU027,SK026,8.4,2
STU027,SK027,5.7,3
STU027,SK028,8.0,3
STU027,SK029,4.1,3
STU028,SK031,6.2,2
STU028,SK032,2.6,4
STU028,SK033,5.7,2
STU028,SK034,7.2,4
STU028,SK035,5.4,1
STU029,SK031,2.7,2
STU029,SK032,5.0,2
STU029,SK033,4.3,3
STU029,SK034,5.5,3
STU029,SK035,5.2,3
STU030,SK036,4.6,4
STU030,SK037,4.0,3
STU030,SK038,3.7,2
STU030,SK039,4.4,2
STU030,SK040,3.4,4
STU031,SK001,4.1,3
STU031,SK002,9.4,2
STU031,SK007,4.2,3
STU031,SK008,3.3,1
STU031,SK010,7.3,2
STU032,SK001,4.1,1
STU032,SK002,6.2,2
STU032,SK007,6.8,4
STU032,SK008,2.8,1
STU032,SK010,6.3,4
STU033,SK001,5.6,3
STU033,SK002,3.4,1
STU033,SK007,3.9,4
STU033,SK008,2.9,1
STU033,SK010,5.0,1
STU034,SK017,6.3,1
STU034,SK018,3.1,3
STU034,SK019,2.6,2
STU034,SK021,2.9,4
STU034,SK022,6.5,2
STU035,SK017,7.8,4
STU035,SK018,5.4,4
STU035,SK019,4.2,4
STU035,SK021,4.3,1
STU035,SK022,6.6,1
STU036,SK025,9.1,2
STU036,SK026,6.7,3
STU036,SK027,7.0,2
STU036,SK028,3.8,1
